"groupId","groupName","outfitKey","topId","topName","topPrice","bottomId","bottomName","bottomPrice","priceTotal","topUrl","bottomUrl"
"15843731","Beneventi's","european businessman","17220356124","[Emporio Armani] European Businessman, Upper","10","17220364563","[Emporio Armani] European Businessman, Lower","7","17","https://www.roblox.com/catalog/17220356124","https://www.roblox.com/catalog/17220364563"
"15843731","Beneventi's","the capri","106422849553562","[Emporio Armani] The Capri, Upper","10","97042952325847","[Emporio Armani] The Capri, Lower","7","17","https://www.roblox.com/catalog/106422849553562","https://www.roblox.com/catalog/97042952325847"
"15843731","Beneventi's","la grazia","17035626113","[Emporio Armani] La Grazia, Upper","10","17035640736","[Emporio Armani] La Grazia, Lower","7","17","https://www.roblox.com/catalog/17035626113","https://www.roblox.com/catalog/17035640736"
"15843731","Beneventi's","connected guy","17103894814","[Emporio Armani] Connected Guy, Upper","10","17103906779","[Emporio Armani] Connected Guy, Lower","7","17","https://www.roblox.com/catalog/17103894814","https://www.roblox.com/catalog/17103906779"
"15843731","Beneventi's","tommy s tuxedo","18490416363","[Emporio Armani] Tommy's Tuxedo, Upper","10","18490421561","[Emporio Armani] Tommy's Tuxedo, Lower","7","17","https://www.roblox.com/catalog/18490416363","https://www.roblox.com/catalog/18490421561"
"15843731","Beneventi's","tio","80692145359616","[B] Tio, Upper","10","136601389165933","[B] Tio, Lower","7","17","https://www.roblox.com/catalog/80692145359616","https://www.roblox.com/catalog/136601389165933"
"15843731","Beneventi's","buffalo","10822722031","[Emporio Armani] Buffalo, Upper","10","10822728905","[Emporio Armani] Buffalo, Lower","7","17","https://www.roblox.com/catalog/10822722031","https://www.roblox.com/catalog/10822728905"
"15843731","Beneventi's","benjamin","17135321053","[Emporio Armani] Benjamin, Upper","10","17135326041","[Emporio Armani] Benjamin, Lower","7","17","https://www.roblox.com/catalog/17135321053","https://www.roblox.com/catalog/17135326041"
"15843731","Beneventi's","il hitman","118961740933603","[B] il Hitman, Upper","10","76646834247541","[B] il Hitman, Lower","7","17","https://www.roblox.com/catalog/118961740933603","https://www.roblox.com/catalog/76646834247541"
"15843731","Beneventi's","the 70 s","10940510427","[Emporio Armani] The 70's, Upper","10","10940519070","[Emporio Armani] The 70's, Lower","7","17","https://www.roblox.com/catalog/10940510427","https://www.roblox.com/catalog/10940519070"
"15843731","Beneventi's","the buddha","95564333292987","[B] The Buddha, Upper","10","122018589179263","[B] The Buddha, Lower","7","17","https://www.roblox.com/catalog/95564333292987","https://www.roblox.com/catalog/122018589179263"
"15843731","Beneventi's","mr gianini","17035566048","[Emporio Armani] Mr. Gianini, Upper","10","17035573989","[Emporio Armani] Mr. Gianini, Lower","7","17","https://www.roblox.com/catalog/17035566048","https://www.roblox.com/catalog/17035573989"
"15843731","Beneventi's","the distributor","17036398468","[Emporio Armani] The Distributor, Upper","10","17036405419","[Emporio Armani] The Distributor, Lower","7","17","https://www.roblox.com/catalog/17036398468","https://www.roblox.com/catalog/17036405419"
"15843731","Beneventi's","the wolf","16576802013","[Emporio Armani] The Wolf, Upper","10","16576806096","[Emporio Armani] The Wolf, Lower","7","17","https://www.roblox.com/catalog/16576802013","https://www.roblox.com/catalog/16576806096"
"15843731","Beneventi's","a busy man","99301286164153","[B] A Busy Man, Upper","10","112462457273029","[B] A Busy Man, Lower","7","17","https://www.roblox.com/catalog/99301286164153","https://www.roblox.com/catalog/112462457273029"
"15843731","Beneventi's","the baron","121195332465521","[B] The Baron, Upper","10","74639004694151","[B] The Baron, Lower","7","17","https://www.roblox.com/catalog/121195332465521","https://www.roblox.com/catalog/74639004694151"
"15843731","Beneventi's","king of new york","128123367576949","[B] King of New York, Upper","10","111066037019102","[B] King of New York, Lower","7","17","https://www.roblox.com/catalog/128123367576949","https://www.roblox.com/catalog/111066037019102"
"15843731","Beneventi's","nicolo","13557937463","[Emporio Armani] Nicolo, Upper","7","13557938997","[Emporio Armani] Nicolo, Lower","7","14","https://www.roblox.com/catalog/13557937463","https://www.roblox.com/catalog/13557938997"
"15843731","Beneventi's","the ego","16837360180","[Emporio Armani] The Ego, Upper","10","16837366315","[Emporio Armani] The Ego, Lower","7","17","https://www.roblox.com/catalog/16837360180","https://www.roblox.com/catalog/16837366315"
"15843731","Beneventi's","david","16962441550","[Emporio Armani] David, Upper","10","16962447271","[Emporio Armani] David, Lower","7","17","https://www.roblox.com/catalog/16962441550","https://www.roblox.com/catalog/16962447271"
"15843731","Beneventi's","the tsunami","101291817542938","[B] The Tsunami, Upper","10","91164753042786","[B] The Tsunami, Lower","7","17","https://www.roblox.com/catalog/101291817542938","https://www.roblox.com/catalog/91164753042786"
"15843731","Beneventi's","dmitro","18727729931","[Emporio Armani] Dmitro Waistcoat, Upper","10","18727716485","[Emporio Armani] Dmitro, Lower","7","17","https://www.roblox.com/catalog/18727729931","https://www.roblox.com/catalog/18727716485"
"15843731","Beneventi's","dmitro","18727729931","[Emporio Armani] Dmitro Waistcoat, Upper","10","18727739152","[Emporio Armani] Dmitro Waistcoat, Lower","7","17","https://www.roblox.com/catalog/18727729931","https://www.roblox.com/catalog/18727739152"
"15843731","Beneventi's","dmitro","18727711525","[Emporio Armani] Dmitro, Upper","10","18727716485","[Emporio Armani] Dmitro, Lower","7","17","https://www.roblox.com/catalog/18727711525","https://www.roblox.com/catalog/18727716485"
"15843731","Beneventi's","dmitro","18727711525","[Emporio Armani] Dmitro, Upper","10","18727739152","[Emporio Armani] Dmitro Waistcoat, Lower","7","17","https://www.roblox.com/catalog/18727711525","https://www.roblox.com/catalog/18727739152"
"15843731","Beneventi's","living life","94687395996147","[B] Living Life, Upper","10","111571959443744","[B] Living Life, Lower","7","17","https://www.roblox.com/catalog/94687395996147","https://www.roblox.com/catalog/111571959443744"
"15843731","Beneventi's","costanzo","136429889446839","[B] Costanzo, Upper","10","137461523471284","[B] Costanzo, Lower","7","17","https://www.roblox.com/catalog/136429889446839","https://www.roblox.com/catalog/137461523471284"
"15843731","Beneventi's","reservoir dogs","83210194159994","[B] Reservoir Dogs, Upper","10","133460922072562","[B] Reservoir Dogs, Lower","7","17","https://www.roblox.com/catalog/83210194159994","https://www.roblox.com/catalog/133460922072562"
"15843731","Beneventi's","walnuts","17034697180","[Emporio Armani] Walnuts, Upper","10","17034708766","[Emporio Armani] Walnuts, Lower","7","17","https://www.roblox.com/catalog/17034697180","https://www.roblox.com/catalog/17034708766"
"15843731","Beneventi's","the shark","130820668192223","[Emporio Armani] The Shark, Upper","10","81050344875160","[Emporio Armani] The Shark, Lower","7","17","https://www.roblox.com/catalog/130820668192223","https://www.roblox.com/catalog/81050344875160"
"15843731","Beneventi's","the shark","126271275771889","[Emporio Armani] The Shark Waistcoat","10","81050344875160","[Emporio Armani] The Shark, Lower","7","17","https://www.roblox.com/catalog/126271275771889","https://www.roblox.com/catalog/81050344875160"
"15843731","Beneventi's","il generale","89605887048751","[B] il Generale, Upper","10","97477362859345","[B] il Generale, Lower","7","17","https://www.roblox.com/catalog/89605887048751","https://www.roblox.com/catalog/97477362859345"
"15843731","Beneventi's","the high roller","16576832008","[Emporio Armani] The High Roller, Upper","10","16576842432","[Emporio Armani] The High Roller, Lower","7","17","https://www.roblox.com/catalog/16576832008","https://www.roblox.com/catalog/16576842432"
"15843731","Beneventi's","el diablo","17220454915","[Emporio Armani] El Diablo, Upper","10","17220482399","[Emporio Armani] El Diablo, Lower","7","17","https://www.roblox.com/catalog/17220454915","https://www.roblox.com/catalog/17220482399"
"15843731","Beneventi's","floro","17303528059","[Emporio Armani] Floro, Upper","7","17303533959","[Emporio Armani] Floro, Lower","7","14","https://www.roblox.com/catalog/17303528059","https://www.roblox.com/catalog/17303533959"
"15843731","Beneventi's","bruno","13557973833","[Emporio Armani] Bruno, Upper","10","13557974397","[Emporio Armani] Bruno, Lower","7","17","https://www.roblox.com/catalog/13557973833","https://www.roblox.com/catalog/13557974397"
