"id","thumbnailUrl","color1","color1Cov","color2","color2Cov","color3","color3Cov","error","source"
"126336521","https://tr.rbxcdn.com/180DAY-afcd405ef95b04f11037042ee94e5af2/420/420/Shirt/Png/noFilter","#7F7E7E","0.8669","#545353","0.0619","#292625","0.0402",,"roblox-cdn-thumbnail"
"126396243","https://tr.rbxcdn.com/180DAY-d80d915931b6feec7b6247c132441e8d/420/420/Shirt/Png/noFilter","#7A7A79","0.7853","#565656","0.1824","#E7E7E5","0.0324",,"roblox-cdn-thumbnail"
"126399866","https://tr.rbxcdn.com/180DAY-d00e1bb60a6bac98f40ec566577b467e/420/420/Shirt/Png/noFilter","#818180","0.6147","#5F5F5F","0.3529","#E8E6E3","0.0324",,"roblox-cdn-thumbnail"
"126547127","https://tr.rbxcdn.com/180DAY-a9fb0e0ec28357ddb3fa3332d9a15755/420/420/Shirt/Png/noFilter","#202459","0.7838","#848484","0.1213","#383F80","0.0451",,"roblox-cdn-thumbnail"
"126568893","https://tr.rbxcdn.com/180DAY-8ba091396cd2c38282b7998e31ba17e4/420/420/Shirt/Png/noFilter","#887F7D","0.6047","#5E3B41","0.1442","#EAE7E3","0.1442",,"roblox-cdn-thumbnail"
"126602374","https://tr.rbxcdn.com/180DAY-52bc1f3eb0e39ab94e975cf210a924ba/420/420/Shirt/Png/noFilter","#858584","0.4806","#1B1B1B","0.2896","#616060","0.1505",,"roblox-cdn-thumbnail"
"126603162","https://tr.rbxcdn.com/180DAY-1d861dabe726870d03da67a08ab45df6/420/420/Shirt/Png/noFilter","#848583","0.4855","#122413","0.3742","#616762","0.0806",,"roblox-cdn-thumbnail"
"126603271","https://tr.rbxcdn.com/180DAY-2d2fe72eb5de5894c92baa7a2a1eb45f/420/420/Shirt/Png/noFilter","#848383","0.4919","#261414","0.2081","#4D1414","0.1742",,"roblox-cdn-thumbnail"
"126603319","https://tr.rbxcdn.com/180DAY-6a4560ab681db6580b9ea2152ad155fe/420/420/Shirt/Png/noFilter","#848484","0.4951","#151524","0.1942","#191552","0.1877",,"roblox-cdn-thumbnail"
"126705028","https://tr.rbxcdn.com/180DAY-b2b240d18638279f2c0714400ea25070/420/420/Shirt/Png/noFilter","#2B2B2B","0.7692","#7C7B79","0.1538","#535353","0.0657",,"roblox-cdn-thumbnail"
"126705183","https://tr.rbxcdn.com/180DAY-2558106ad91a6eb4983e8c70d3471b29/420/420/Shirt/Png/noFilter","#33271C","0.5034","#58493E","0.2735","#83817E","0.193",,"roblox-cdn-thumbnail"
